WirelessDeviceId,SequenceNumber,TotalLength,SourceAddress,Range,Status,Event,SenVal,SenEvent,OAVelocity,Peakmg,RMSmg,Kurtosis,CrestFactor,Skewness,Deviation,Peak-to-Peak Displacement,SenEvent,OAVelocity,Peakmg,RMSmg,Kurtosis,CrestFactor,Skewness,Deviation,Peak-to-Peak Displacement,SenEvent,OAVelocity,Peakmg,RMSmg,Kurtosis,CrestFactor,Skewness,Deviation,Peak-to-Peak Displacement,LogIndex,Time,Events,PowerSrc,BatteryVolt,Time
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,0,88,null,0,0,0,28312,0,5,5,4,4,263,19,0,1,0,6,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,1670048037,0,2,3503,1670048038
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,1,88,null,0,0,0,28375,0,6,5,4,0,23,7,0,1,0,5,4,3,0,0,0,0,0,0,7,5,4,0,0,0,0,0,0,1670048937,0,2,3503,1670048938
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,2,88,null,0,0,0,28500,0,5,5,4,-20,0,13,0,1,0,4,5,4,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,1670049837,0,2,3503,1670049838
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,3,88,null,0,0,0,28625,0,4,5,4,1,24,6,0,0,0,5,5,4,0,0,0,0,0,0,7,5,4,0,0,0,0,0,0,1670050738,0,2,3503,1670050738
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,4,88,null,0,0,0,28687,0,6,4,3,0,25,11,0,1,0,7,5,4,0,0,0,0,0,0,7,5,4,0,0,0,0,0,0,1670051638,0,2,3503,1670051639
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,5,88,null,0,0,0,28875,0,9,5,4,-3,23,15,0,2,0,7,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,1670052537,0,2,3503,1670052538
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,6,88,null,0,0,0,28937,0,7,5,4,3,74,10,0,2,0,6,5,4,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,1670053437,0,2,3503,1670053438
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,7,88,null,0,0,0,29062,0,6,5,4,-7,119,14,0,2,0,6,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,1670054337,0,2,3503,1670054338
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,8,88,null,0,0,0,29062,0,5,4,3,5,101,10,0,1,0,4,4,3,0,0,0,0,0,0,7,5,4,0,0,0,0,0,0,1670055237,0,2,3503,1670055238
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,9,88,null,0,0,0,29125,0,5,5,4,1,47,14,0,1,0,6,5,4,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,1670056137,0,2,3503,1670056138
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,10,88,null,0,0,0,29187,0,6,5,4,-12,123,11,0,1,0,4,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,1670057037,0,2,3503,1670057038
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,11,88,null,0,0,0,29250,0,5,5,4,1,123,5,0,1,0,4,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,1670057937,0,2,3503,1670057938
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,12,88,null,0,0,0,29312,0,4,4,3,8,125,5,0,1,0,6,5,4,0,0,0,0,0,0,4,5,4,0,0,0,0,0,0,1670058837,0,2,3503,1670058838
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,13,88,null,0,0,0,29437,0,5,5,4,4,73,9,0,2,0,5,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,1670059737,0,2,3503,1670059738
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,14,88,null,0,0,0,29437,0,5,5,4,12,49,5,0,1,0,6,4,3,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,1670060637,0,2,3503,1670060638
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,15,88,null,0,0,0,29500,0,5,5,4,0,94,10,0,1,0,5,5,4,0,0,0,0,0,0,8,5,4,0,0,0,0,0,0,1670061537,0,2,3503,1670061538
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,16,88,null,0,0,0,29437,0,6,5,4,1,70,16,0,1,0,6,5,4,0,0,0,0,0,0,6,7,5,0,0,0,0,0,0,1670062437,0,2,3503,1670062438
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,17,88,null,0,0,0,29250,0,4,5,4,13,191,16,0,1,0,5,5,4,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,1670063338,0,2,3503,1670063338
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,18,88,null,0,0,0,29062,0,7,5,4,2,47,32,0,2,0,8,5,4,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,1670064238,0,2,3503,1670064239
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,19,88,null,0,0,0,28875,0,5,5,4,0,170,14,0,1,0,4,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,1670065137,0,2,3503,1670065138
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,20,88,null,0,0,0,28750,0,5,5,4,-1,340,14,0,1,0,5,4,3,0,0,0,0,0,0,4,5,4,0,0,0,0,0,0,1670066037,0,2,3503,1670066038
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,21,88,null,0,0,0,28687,0,4,4,3,5,100,6,0,0,0,6,5,4,0,0,0,0,0,0,7,7,5,0,0,0,0,0,0,1670066937,0,2,3503,1670066938
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,22,88,null,0,0,0,28562,0,4,5,4,0,118,16,0,1,0,6,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,1670067837,0,2,3503,1670067838
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,23,88,null,0,0,0,28500,0,7,5,4,-9,196,6,0,2,0,5,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,1670068737,0,2,3503,1670068738
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,24,88,null,0,0,0,28437,0,7,5,4,4,72,9,0,2,0,4,5,4,0,0,0,0,0,0,7,7,5,0,0,0,0,0,0,1670069637,0,2,3503,1670069638
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,25,88,null,0,0,0,28312,0,4,5,4,5,267,11,0,1,0,6,5,4,0,0,0,0,0,0,6,7,5,0,0,0,0,0,0,1670070537,0,2,3503,1670070538
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,26,88,null,0,0,0,28187,0,7,5,4,-12,45,2,0,2,0,6,5,4,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,1670071437,0,2,3503,1670071438
